Specimen ID,Total Length,Abdomen Length,Pronotum Length,Pronotum Width,Egg Count,Total Weight
195,24.18,15.20,4.66,5.07,2,0.448
149,22.85,13.93,4.93,5.23,5,0.430
158,22.10,13.01,4.94,5.58,6,0.426
159,22.49,14.15,4.86,5.21,6,0.486
186,25.00,15.31,5.35,5.69,6,0.522
198,25.83,16.39,5.19,5.24,7,0.568
205,22.82,14.23,5.17,5.42,7,0.442
148,25.70,16.16,5.80,5.43,9,0.606
167,25.28,16.47,5.33,5.82,10,0.456
169,24.19,14.64,5.31,5.60,10,0.492
174,24.90,16.37,5.02,5.48,12,0.604
193,23.23,14.12,4.21,4.92,12,0.482
150,25.61,16.86,4.96,5.14,16,0.578
168,25.95,17.29,5.48,5.77,16,0.634
201,25.31,16.45,4.83,4.39,17,0.482
164,27.27,18.55,4.79,5.29,18,0.596
154,27.25,17.81,5.41,6.18,20,0.748
155,28.09,19.35,5.70,5.94,20,0.746
200,26.52,17.26,4.79,5.27,20,0.468
161,28.13,17.60,8.58,5.71,22,0.680
176,26.61,17.66,5.12,5.74,22,0.622
184,26.80,17.54,5.21,5.95,22,0.652
206,24.19,15.74,4.91,5.24,24,0.548
152,27.67,19.06,5.20,5.58,25,0.664
196,27.37,18.30,5.35,5.63,28,0.572
163,29.36,21.21,4.93,5.24,30,0.668
202,27.45,18.14,5.14,5.80,30,0.610
119,21.76,12.66,5.33,5.59,3,0.374
96,26.76,17.81,5.23,5.85,5,0.490
141,22.40,13.92,4.67,4.92,8,0.372
137,26.36,17.10,6.01,5.63,14,0.376
136,25.57,15.93,5.89,6.12,17,0.587
122,25.73,16.05,4.89,5.45,18,0.492
109,24.50,16.24,5.23,5.38,19,0.350
115,24.25,15.64,4.61,5.20,19,0.496
140,24.09,15.94,5.14,5.37,21,0.476
132,27.09,17.87,5.15,4.94,22,0.506
204,27.06,18.19,4.70,5.60,22,0.536
123,25.90,17.18,4.87,5.07,25,0.584
98,28.57,19.65,4.93,5.10,26,0.628
113,26.77,17.32,4.82,5.11,26,0.678
108,24.49,15.75,4.80,5.27,27,0.542
120,27.57,17.78,5.25,6.12,27,0.752
118,27.86,20.07,4.92,5.48,28,0.668
135,30.64,21.01,5.43,5.93,28,0.752
110,26.46,17.62,5.50,5.68,29,0.622
114,25.73,15.75,5.20,5.91,29,0.616
129,28.23,18.54,5.14,5.41,31,0.672
116,28.89,18.99,5.61,5.32,34,0.798
112,28.08,18.41,5.32,6.18,35,0.796
100,28.91,18.59,5.32,5.79,37,0.722
