Specimen ID Number,Total Length (mm),Total Weight (g)
1,23.26,0.394
2,24.23,0.426
3,24.17,0.526
4,22.83,0.362
5,22.64,0.382
6,25.35,0.446
7,25.74,0.512
8,23.37,0.406
9,22.96,0.418
10,24.33,0.430
11,24.07,0.402
12,26.03,0.430
13,25.00,0.436
14,24.67,0.352
15,26.20,0.466
16,22.15,0.330
17,24.24,0.502
18,26.76,0.490
19,24.09,0.320
20,28.57,0.628
21,23.48,0.400
22,28.91,0.722
23,26.52,0.530
24,24.71,0.452
25,23.90,0.410
26,28.43,0.586
27,23.45,0.336
28,25.25,0.336
29,23.71,0.458
30,24.49,0.542
31,24.50,0.350
32,26.46,0.622
33,23.95,0.406
34,28.08,0.796
35,26.77,0.678
36,25.73,0.616
37,24.25,0.496
38,28.89,0.798
39,25.55,0.502
40,27.86,0.668
41,21.76,0.374
42,27.57,0.752
43,22.03,0.388
44,25.73,0.492
45,25.90,0.584
46,24.02,0.566
47,23.68,0.568
48,22.89,0.500
49,21.43,0.434
50,23.91,0.396
51,28.23,0.672
52,24.32,0.564
53,22.74,0.406
54,27.09,0.506
55,23.38,0.438
56,21.29,0.366
57,30.64,0.752
58,25.57,0.587
59,26.36,0.376
60,20.00,0.196
61,24.75,0.344
62,24.09,0.476
63,22.40,0.372
64,24.78,0.524
65,25.51,0.632
66,23.37,0.492
67,23.22,0.560
68,24.27,0.502
69,25.65,0.596
70,25.70,0.606
71,22.85,0.430
72,25.61,0.578
73,27.24,0.634
74,27.67,0.664
75,24.45,0.630
76,27.25,0.748
77,28.09,0.746
78,23.88,0.470
79,23.53,0.332
80,22.10,0.426
81,22.49,0.486
82,23.58,0.410
83,28.13,0.680
84,24.41,0.490
85,29.36,0.668
86,27.27,0.596
87,22.02,0.330
88,21.45,0.242
89,25.28,0.456
90,25.95,0.634
91,24.19,0.492
92,24.26,0.482
93,26.23,0.486
94,25.02,0.498
95,22.03,0.308
96,24.90,0.604
97,25.66,0.510
98,26.61,0.622
99,24.97,0.516
100,24.45,0.562
101,20.66,0.320
102,23.65,0.444
103,20.95,0.366
104,24.80,0.454
105,21.84,0.342
106,26.80,0.652
107,24.40,0.328
108,25.00,0.522
109,22.52,0.472
110,25.60,0.576
111,22.25,0.406
112,22.07,0.358
113,21.91,0.362
114,21.67,0.448
115,23.23,0.482
116,23.61,0.490
117,24.18,0.448
118,27.37,0.572
119,24.91,0.568
120,25.83,0.568
121,22.45,0.346
122,26.52,0.468
123,25.31,0.482
124,27.45,0.610
125,22.81,0.430
126,27.06,0.536
127,22.82,0.442
128,24.19,0.548
129,24.38,0.436
